date,game_id,book_key,market,player,over_under,value,odds,timestamp,home_team,away_team
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_assists_over_under,eric gordon,True,1.5,140,2023-03-20T03:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_assists_over_under,eric gordon,True,2.5,154,2023-03-20T02:30:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_assists_over_under,eric gordon,False,1.5,-188,2023-03-20T03:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_assists_over_under,eric gordon,False,2.5,-210,2023-03-20T02:30:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_blocks_over_under,eric gordon,True,0.5,1000,2023-03-20T03:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_blocks_over_under,eric gordon,False,0.5,-4000,2023-03-20T03:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_points_over_under,eric gordon,True,10.5,-114,2023-03-20T01:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_points_over_under,eric gordon,True,12.5,-118,2023-03-20T02:30:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_points_over_under,eric gordon,True,14.5,-148,2023-03-20T01:45:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_points_over_under,eric gordon,True,20.5,146,2023-03-20T03:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_points_over_under,eric gordon,False,10.5,-106,2023-03-20T01:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_points_over_under,eric gordon,False,12.5,-112,2023-03-20T02:30:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_points_over_under,eric gordon,False,14.5,112,2023-03-20T01:45:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_points_over_under,eric gordon,False,19.5,122,2023-03-20T02:45:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_points_over_under,eric gordon,False,20.5,-198,2023-03-20T03:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_points_over_under,eric gordon,True,19.5,-162,2023-03-20T02:45:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_rebounds_over_under,eric gordon,True,2.5,148,2023-03-20T01:45:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_rebounds_over_under,eric gordon,True,1.5,205,2023-03-20T03:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_threes_over_under,eric gordon,False,2.5,-210,2023-03-20T01:45:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_threes_over_under,eric gordon,False,1.5,134,2023-03-20T02:30:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_threes_over_under,eric gordon,True,4.5,210,2023-03-20T03:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_threes_over_under,eric gordon,True,2.5,154,2023-03-20T01:45:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_threes_over_under,eric gordon,True,1.5,-180,2023-03-20T02:30:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_threes_over_under,eric gordon,False,4.5,-300,2023-03-20T03:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_steals_over_under,eric gordon,False,0.5,-470,2023-03-20T02:45:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_steals_over_under,eric gordon,True,1.5,550,2023-03-20T03:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_steals_over_under,eric gordon,True,0.5,310,2023-03-20T02:45:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_rebounds_over_under,eric gordon,False,2.5,-200,2023-03-20T01:45:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_rebounds_over_under,eric gordon,False,1.5,-290,2023-03-20T03:00:01,Portland Trail Blazers,LA Clippers
2023-03-19,bc0fcc1ce382bbc0cb706ca4fda97d81,fanduel,player_steals_over_under,eric gordon,False,1.5,-1100,2023-03-20T03:00:01,Portland Trail Blazers,LA Clippers
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_points_over_under,eric gordon,True,5.5,104,2023-03-22T04:15:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_points_over_under,eric gordon,True,4.5,-106,2023-03-22T04:30:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_points_over_under,eric gordon,True,3.5,148,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_blocks_over_under,eric gordon,False,0.5,-5000,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_blocks_over_under,eric gordon,True,0.5,1000,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_assists_over_under,eric gordon,False,3.5,-250,2023-03-22T04:15:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_assists_over_under,eric gordon,True,3.5,188,2023-03-22T04:15:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_assists_over_under,eric gordon,False,1.5,-118,2023-03-22T03:15:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_assists_over_under,eric gordon,True,2.5,270,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_assists_over_under,eric gordon,True,1.5,-112,2023-03-22T03:15:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,eric gordon,True,2.5,134,2023-03-22T03:15:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_points_over_under,eric gordon,True,6.5,-102,2023-03-22T04:00:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_assists_over_under,eric gordon,False,2.5,-400,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_points_over_under,eric gordon,True,7.5,-148,2023-03-22T03:15:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,eric gordon,False,0.5,-490,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_threes_over_under,eric gordon,False,0.5,-500,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_threes_over_under,eric gordon,True,1.5,188,2023-03-22T03:30:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_threes_over_under,eric gordon,True,0.5,320,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_steals_over_under,eric gordon,False,0.5,-3000,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_steals_over_under,eric gordon,True,0.5,880,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,eric gordon,False,2.5,-180,2023-03-22T03:15:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,eric gordon,True,1.5,188,2023-03-22T04:00:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,eric gordon,True,0.5,320,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_points_over_under,eric gordon,False,11.5,-110,2023-03-22T02:15:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_points_over_under,eric gordon,False,7.5,112,2023-03-22T03:15:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_points_over_under,eric gordon,False,6.5,-130,2023-03-22T04:00:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_points_over_under,eric gordon,False,5.5,-138,2023-03-22T04:15:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_points_over_under,eric gordon,False,4.5,-125,2023-03-22T04:30:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_points_over_under,eric gordon,False,3.5,-200,2023-03-22T04:45:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_threes_over_under,eric gordon,False,1.5,-250,2023-03-22T03:30:02,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_rebounds_over_under,eric gordon,False,1.5,-250,2023-03-22T04:00:01,LA Clippers,Oklahoma City Thunder
2023-03-21,f996c60c33f916f074f45aafad38ee0f,fanduel,player_points_over_under,eric gordon,True,11.5,-110,2023-03-22T02:15:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,eric gordon,False,12.5,104,2023-03-24T02:45:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,eric gordon,True,12.5,-138,2023-03-24T02:45:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,eric gordon,True,13.5,116,2023-03-24T04:00:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,eric gordon,True,14.5,-106,2023-03-24T02:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,eric gordon,False,8.5,-122,2023-03-24T04:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,eric gordon,False,10.5,106,2023-03-24T03:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,eric gordon,False,11.5,100,2023-03-24T04:15:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,eric gordon,False,13.5,-154,2023-03-24T04:00:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,eric gordon,False,14.5,-114,2023-03-24T02:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_assists_over_under,eric gordon,True,2.5,490,2023-03-24T04:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_assists_over_under,eric gordon,True,3.5,164,2023-03-24T04:00:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_assists_over_under,eric gordon,False,2.5,-900,2023-03-24T04:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_blocks_over_under,eric gordon,True,0.5,1000,2023-03-24T04:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_blocks_over_under,eric gordon,False,0.5,-50000,2023-03-24T04:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,eric gordon,True,8.5,-108,2023-03-24T04:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,eric gordon,True,10.5,-140,2023-03-24T03:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_assists_over_under,eric gordon,False,3.5,-225,2023-03-24T04:00:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_rebounds_over_under,eric gordon,True,1.5,158,2023-03-24T03:45:02,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_threes_over_under,eric gordon,False,3.5,-205,2023-03-24T03:45:02,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_threes_over_under,eric gordon,False,2.5,-1400,2023-03-24T04:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_threes_over_under,eric gordon,False,1.5,-146,2023-03-24T03:15:02,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_threes_over_under,eric gordon,True,3.5,152,2023-03-24T03:45:02,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_points_over_under,eric gordon,True,11.5,-132,2023-03-24T04:15:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_threes_over_under,eric gordon,True,1.5,110,2023-03-24T03:15:02,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_steals_over_under,eric gordon,False,0.5,-7000,2023-03-24T04:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_threes_over_under,eric gordon,True,2.5,630,2023-03-24T04:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_rebounds_over_under,eric gordon,False,3.5,-1400,2023-03-24T04:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_rebounds_over_under,eric gordon,False,2.5,140,2023-03-24T04:00:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_rebounds_over_under,eric gordon,False,1.5,-215,2023-03-24T03:45:02,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_rebounds_over_under,eric gordon,True,3.5,630,2023-03-24T04:30:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_rebounds_over_under,eric gordon,True,2.5,-188,2023-03-24T04:00:01,LA Clippers,Oklahoma City Thunder
2023-03-23,735ed59de788b6ea1681e12cde026c4e,fanduel,player_steals_over_under,eric gordon,True,0.5,1000,2023-03-24T04:30:01,LA Clippers,Oklahoma City Thunder
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_rebounds_over_under,eric gordon,False,3.5,-1200,2023-03-26T04:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_threes_over_under,eric gordon,True,2.5,-102,2023-03-26T03:00:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_rebounds_over_under,eric gordon,False,4.5,-210,2023-03-26T03:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_steals_over_under,eric gordon,True,0.5,132,2023-03-26T03:15:02,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_steals_over_under,eric gordon,True,1.5,1000,2023-03-26T04:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_steals_over_under,eric gordon,False,0.5,-178,2023-03-26T03:15:02,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_steals_over_under,eric gordon,False,1.5,-5000,2023-03-26T04:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_threes_over_under,eric gordon,True,1.5,-180,2023-03-26T02:45:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_threes_over_under,eric gordon,True,3.5,520,2023-03-26T04:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,eric gordon,True,14.5,104,2023-03-26T03:00:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_threes_over_under,eric gordon,False,1.5,134,2023-03-26T02:45:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_threes_over_under,eric gordon,False,2.5,-130,2023-03-26T03:00:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_threes_over_under,eric gordon,False,3.5,-1000,2023-03-26T04:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_threes_over_under,eric gordon,False,4.5,-230,2023-03-26T03:45:02,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_assists_over_under,eric gordon,False,2.5,-178,2023-03-26T03:45:02,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_assists_over_under,eric gordon,False,1.5,-900,2023-03-26T04:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_assists_over_under,eric gordon,True,2.5,132,2023-03-26T03:45:02,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_assists_over_under,eric gordon,True,1.5,490,2023-03-26T04:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_rebounds_over_under,eric gordon,False,1.5,124,2023-03-26T02:45:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_threes_over_under,eric gordon,True,4.5,168,2023-03-26T03:45:02,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_rebounds_over_under,eric gordon,True,4.5,154,2023-03-26T03:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_rebounds_over_under,eric gordon,True,3.5,580,2023-03-26T04:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_rebounds_over_under,eric gordon,True,1.5,-166,2023-03-26T02:45:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,eric gordon,True,12.5,-124,2023-03-26T02:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,eric gordon,True,11.5,-114,2023-03-26T02:45:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,eric gordon,False,11.5,-114,2023-03-26T02:45:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,eric gordon,True,19.5,-122,2023-03-26T03:45:02,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,eric gordon,True,18.5,-152,2023-03-26T04:15:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,eric gordon,True,15.5,-158,2023-03-26T04:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_blocks_over_under,eric gordon,False,0.5,-50000,2023-03-26T04:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,eric gordon,False,12.5,102,2023-03-26T02:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,eric gordon,False,14.5,-138,2023-03-26T03:00:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,eric gordon,False,15.5,118,2023-03-26T04:30:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,eric gordon,False,18.5,114,2023-03-26T04:15:01,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_points_over_under,eric gordon,False,19.5,-108,2023-03-26T03:45:02,LA Clippers,New Orleans Pelicans
2023-03-25,12ea5e3418a3bc9b8567e3b83af56c15,fanduel,player_blocks_over_under,eric gordon,True,0.5,1000,2023-03-26T04:30:01,LA Clippers,New Orleans Pelicans
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_rebounds_over_under,eric gordon,True,1.5,188,2023-03-28T03:30:02,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_rebounds_over_under,eric gordon,True,2.5,138,2023-03-27T20:30:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_rebounds_over_under,eric gordon,False,0.5,-600,2023-03-28T04:30:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_rebounds_over_under,eric gordon,False,1.5,-250,2023-03-28T03:30:02,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_rebounds_over_under,eric gordon,False,2.5,-180,2023-03-27T20:15:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_steals_over_under,eric gordon,True,0.5,920,2023-03-28T04:30:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_threes_over_under,eric gordon,True,2.5,-260,2023-03-28T03:30:02,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_threes_over_under,eric gordon,True,1.5,-192,2023-03-28T02:15:02,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_threes_over_under,eric gordon,True,3.5,-210,2023-03-28T03:45:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_threes_over_under,eric gordon,True,5.5,370,2023-03-28T04:30:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_threes_over_under,eric gordon,False,1.5,148,2023-03-28T02:15:02,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_rebounds_over_under,eric gordon,True,0.5,370,2023-03-28T04:30:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_threes_over_under,eric gordon,False,3.5,154,2023-03-28T03:45:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_threes_over_under,eric gordon,False,5.5,-600,2023-03-28T04:30:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_steals_over_under,eric gordon,False,0.5,-3500,2023-03-28T04:30:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_threes_over_under,eric gordon,False,2.5,188,2023-03-28T03:30:02,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_points_over_under,eric gordon,False,19.5,-144,2023-03-28T03:30:02,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_points_over_under,eric gordon,False,23.5,-260,2023-03-28T04:30:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_assists_over_under,eric gordon,True,2.5,134,2023-03-28T04:15:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_assists_over_under,eric gordon,True,3.5,290,2023-03-28T04:30:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_assists_over_under,eric gordon,False,2.5,-182,2023-03-28T04:15:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_assists_over_under,eric gordon,False,3.5,-440,2023-03-28T04:30:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_blocks_over_under,eric gordon,True,0.5,1000,2023-03-28T04:15:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_blocks_over_under,eric gordon,False,0.5,-10000,2023-03-28T04:30:01,LA Clippers,Chicago Bulls
2023-03-27,d1a4fe018f0cd43dc7e202361e0876c0,fanduel,player_points_over_under,eric gordon,True,11.5,-125,2023-03-27T20:15:01,LA Clippers,Chicago Bulls
